year,event_id,match_id,match_date,match_surface,match_round,tournament_name,tournament_city,tournament_draw,winner_name,loser_name,match_score,match_time,winner_aces_all,winner_aces_1st,winner_aces_2nd,loser_aces_all,loser_aces_1st,loser_aces_2nd,winner_double_faults_all,winner_double_faults_1st,winner_double_faults_2nd,loser_double_faults_all,loser_double_faults_1st,loser_double_faults_2nd,winner_serve_rating_all,winner_serve_rating_1st,winner_serve_rating_2nd,loser_serve_rating_all,loser_serve_rating_1st,loser_serve_rating_2nd,winner_first_serve_all,winner_first_serve_1st,winner_first_serve_2nd,loser_first_serve_all,loser_first_serve_1st,loser_first_serve_2nd,winner_first_serve_points_all,winner_first_serve_points_1st,winner_first_serve_points_2nd,loser_first_serve_points_all,loser_first_serve_points_1st,loser_first_serve_points_2nd,winner_second_serve_points_all,winner_second_serve_points_1st,winner_second_serve_points_2nd,loser_second_serve_points_all,loser_second_serve_points_1st,loser_second_serve_points_2nd,winner_break_points_saved_all,winner_break_points_saved_1st,winner_break_points_saved_2nd,loser_break_points_saved_all,loser_break_points_saved_1st,loser_break_points_saved_2nd,winner_service_games_played_all,winner_service_games_played_1st,winner_service_games_played_2nd,loser_service_games_played_all,loser_service_games_played_1st,loser_service_games_played_2nd,winner_return_rating_all,winner_return_rating_1st,winner_return_rating_2nd,loser_return_rating_all,loser_return_rating_1st,loser_return_rating_2nd,winner_first_serve_return_points_all,winner_first_serve_return_points_1st,winner_first_serve_return_points_2nd,loser_first_serve_return_points_all,loser_first_serve_return_points_1st,loser_first_serve_return_points_2nd,winner_second_serve_return_points_all,winner_second_serve_return_points_1st,winner_second_serve_return_points_2nd,loser_second_serve_return_points_all,loser_second_serve_return_points_1st,loser_second_serve_return_points_2nd,winner_break_points_converted_all,winner_break_points_converted_1st,winner_break_points_converted_2nd,loser_break_points_converted_all,loser_break_points_converted_1st,loser_break_points_converted_2nd,winner_total_service_points_won_all,winner_total_service_points_won_1st,winner_total_service_points_won_2nd,loser_total_service_points_won_all,loser_total_service_points_won_1st,loser_total_service_points_won_2nd,winner_total_return_points_won_all,winner_total_return_points_won_1st,winner_total_return_points_won_2nd,loser_total_return_points_won_all,loser_total_return_points_won_1st,loser_total_return_points_won_2nd,winner_total_points_won_all,winner_total_points_won_1st,winner_total_points_won_2nd,loser_total_points_won_all,loser_total_points_won_1st,loser_total_points_won_2nd,loser_aces_3rd,winner_aces_3rd,loser_double_faults_3rd,winner_double_faults_3rd,loser_serve_rating_3rd,winner_serve_rating_3rd,loser_first_serve_3rd,winner_first_serve_3rd,loser_first_serve_points_3rd,winner_first_serve_points_3rd,loser_second_serve_points_3rd,winner_second_serve_points_3rd,loser_break_points_saved_3rd,winner_break_points_saved_3rd,loser_service_games_played_3rd,winner_service_games_played_3rd,loser_return_rating_3rd,winner_return_rating_3rd,loser_first_serve_return_points_3rd,winner_first_serve_return_points_3rd,loser_second_serve_return_points_3rd,winner_second_serve_return_points_3rd,loser_break_points_converted_3rd,winner_break_points_converted_3rd,loser_total_service_points_won_3rd,winner_total_service_points_won_3rd,loser_total_return_points_won_3rd,winner_total_return_points_won_3rd,loser_total_points_won_3rd,winner_total_points_won_3rd
2022,2809,2022/2809/MS026,2022-10-17,Hard,1st Rd,Tennis Napoli Cup,Naples,28,Mackenzie McDonald,Francesco Passaro,"6-3, 7-5",01:31:03,3,2,1,4,2,2,1,0,1,6,4,2,297,322,274,243,236,250,40/60,17/26,23/34,50/73,25/35,25/38,35/40,15/17,20/23,32/50,18/25,14/25,10/20,6/9,4/11,10/23,2/10,8/13,2/3,0/0,2/3,6/9,5/6,1/3,11,5,6,10,4,6,156,150,182,105,45,126,18/50,7/25,11/25,5/40,2/17,3/23,13/23,8/10,5/13,10/20,3/9,7/11,3/9,1/6,2/3,1/3,0/0,1/3,45/60,21/26,24/34,42/73,20/35,22/38,31/73,15/35,16/38,15/60,5/26,10/34,76/133,36/61,40/72,57/133,25/61,32/72,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,2809,2022/2809/MS018,2022-10-17,Hard,1st Rd,Tennis Napoli Cup,Naples,28,Corentin Moutet,Luca Nardi,"6-7, 7-6, 6-2",03:31:28,5,2,2,4,2,2,4,2,2,4,1,1,255,202,281,233,221,273,91/127,29/47,32/43,85/134,35/55,27/41,59/91,18/29,22/32,45/85,16/35,16/27,15/36,5/18,6/11,27/49,12/20,9/14,11/15,6/9,1/2,11/17,6/9,1/2,16,6,6,16,6,6,164,177,143,145,193,142,40/85,19/35,11/27,32/91,11/29,10/32,22/49,8/20,5/14,21/36,13/18,5/11,6/17,3/9,1/2,4/15,3/9,1/2,74/127,23/47,28/43,72/134,28/55,25/41,62/134,27/55,16/41,53/127,24/47,15/43,136/261,50/102,44/84,125/261,52/102,40/84,0,1,2,0,206,302,23/38,30/37,13/23,19/30,6/15,4/7,4/6,4/4,4,4,80,186,11/30,10/23,3/7,9/15,0/4,2/6,19/38,23/37,14/37,19/38,33/75,42/75
2022,2809,2022/2809/MS025,2022-10-17,Hard,1st Rd,Tennis Napoli Cup,Naples,28,Zhizhen Zhang,Marton Fucsovics,"6-4, 7-6",01:49:13,6,1,5,3,1,2,3,2,1,3,2,1,291,275,304,271,216,324,47/79,18/30,29/49,44/71,19/34,25/37,33/47,11/18,22/29,35/44,13/19,22/25,22/32,9/12,13/20,13/27,5/15,8/12,3/4,2/3,1/1,2/4,2/4,0/0,11,5,6,11,5,6,140,189,45,95,117,59,9/44,6/19,3/25,14/47,7/18,7/29,14/27,10/15,4/12,10/32,3/12,7/20,2/4,2/4,0/0,1/4,1/3,0/1,55/79,20/30,35/49,48/71,18/34,30/37,23/71,16/34,7/37,24/79,10/30,14/49,78/150,36/64,42/86,72/150,28/64,44/86,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,2809,2022/2809/QS004,2022-10-17,Hard,Q-F,Tennis Napoli Cup,Naples,28,Nicolas Jarry,Raul Brancaccio,"6-2, 6-4",01:09:31,5,1,4,3,0,3,1,0,1,4,2,2,309,327,292,214,205,223,25/42,12/19,13/23,32/55,15/25,17/30,23/25,11/12,12/13,20/32,10/15,10/17,11/17,5/7,6/10,9/23,3/10,6/13,0/1,0/0,0/1,6/10,2/4,4/6,9,4,5,9,4,5,183,203,168,154,37,168,12/32,5/15,7/17,2/25,1/12,1/13,14/23,7/10,7/13,6/17,2/7,4/10,4/10,2/4,2/6,1/1,0/0,1/1,34/42,16/19,18/23,29/55,13/25,16/30,26/55,12/25,14/30,8/42,3/19,5/23,60/97,28/44,32/53,37/97,16/44,21/53,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,2809,2022/2809/QS005,2022-10-17,Hard,Q-F,Tennis Napoli Cup,Naples,28,Zhizhen Zhang,Giulio Zeppieri,"7-5, 3-6, 6-3",01:45:37,7,2,3,9,2,3,1,0,1,5,3,0,297,313,272,294,278,349,64/93,27/37,17/23,60/81,22/30,22/26,49/64,21/27,12/17,47/60,16/22,19/22,15/29,6/10,3/6,11/21,4/8,3/4,6/7,2/2,1/2,3/5,0/1,2/2,15,6,4,15,6,5,123,193,39,91,62,154,13/60,6/22,3/22,15/64,6/27,5/17,10/21,4/8,1/4,14/29,4/10,3/6,2/5,1/1,0/2,1/7,0/2,1/2,64/93,27/37,15/23,58/81,20/30,22/26,23/81,10/30,4/26,29/93,10/37,8/23,87/174,37/67,19/49,87/174,30/67,30/49,4,2,2,0,260,289,16/25,20/33,12/16,16/20,4/9,6/13,1/2,3/3,4,5,74,156,4/20,4/16,7/13,5/9,0/3,1/2,16/25,22/33,11/33,9/25,27/58,31/58
2022,2809,2022/2809/QS006,2022-10-17,Hard,Q-F,Tennis Napoli Cup,Naples,28,Francesco Passaro,Filip Misolic,"0-6, 6-3, 6-2",01:44:44,8,1,3,3,0,1,5,1,0,1,0,1,224,121,279,218,321,220,43/83,12/21,15/30,42/77,9/15,21/36,27/43,5/12,11/15,29/42,7/9,13/21,17/40,2/9,8/15,12/35,5/6,6/15,5/9,2/5,1/1,5/10,0/0,4/6,11,3,4,12,3,5,188,39,171,175,296,74,13/42,2/9,8/21,16/43,7/12,4/15,23/35,1/6,9/15,23/40,7/9,7/15,5/10,0/0,2/6,4/9,3/5,0/1,44/83,7/21,19/30,41/77,12/15,19/36,36/77,3/15,17/36,39/83,14/21,11/30,80/160,10/36,36/66,80/160,26/36,30/66,2,4,0,4,155,238,12/26,16/32,9/12,11/16,1/14,7/16,1/4,2/3,4,4,145,268,5/16,3/12,9/16,13/14,1/3,3/4,10/26,18/32,14/32,16/26,24/58,34/58
2022,2809,2022/2809/QS007,2022-10-17,Hard,Q-F,Tennis Napoli Cup,Naples,28,Borna Gojo,Stefano Napolitano,"6-3, 6-4",01:32:45,12,5,7,2,1,1,4,3,1,4,2,2,282,290,264,231,256,215,56/79,32/42,24/37,31/59,14/25,17/34,39/56,23/32,16/24,21/31,10/14,11/17,10/23,4/10,6/13,13/28,6/11,7/17,4/5,2/2,2/3,2/5,1/2,1/3,10,5,5,9,4,5,179,149,201,117,88,140,10/31,4/14,6/17,17/56,9/32,8/24,15/28,5/11,10/17,13/23,6/10,7/13,3/5,1/2,2/3,1/5,0/2,1/3,49/79,27/42,22/37,34/59,16/25,18/34,25/59,9/25,16/34,30/79,15/42,15/37,74/138,36/67,38/71,64/138,31/67,33/71,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,2809,2022/2809/QS008,2022-10-17,Hard,Q-1st,Tennis Napoli Cup,Naples,28,Nicolas Jarry,Aziz Dougaz,"6-2, 6-3",01:17:23,5,3,2,5,3,2,0,0,0,5,4,1,291,300,284,235,211,263,41/66,12/22,29/44,32/55,16/29,16/26,31/41,11/12,20/29,23/32,11/16,12/16,12/25,5/10,7/15,10/23,5/13,5/10,3/3,0/0,3/3,7/10,4/6,3/4,9,4,5,8,4,4,152,176,125,76,58,84,9/32,5/16,4/16,10/41,1/12,9/29,13/23,8/13,5/10,13/25,5/10,8/15,3/10,2/6,1/4,0/3,0/0,0/3,43/66,16/22,27/44,33/55,16/29,17/26,22/55,13/29,9/26,23/66,6/22,17/44,65/121,29/51,36/70,56/121,22/51,34/70,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,2809,2022/2809/QS010,2022-10-17,Hard,Q-1st,Tennis Napoli Cup,Naples,28,Zhizhen Zhang,Riccardo Bonadio,"6-4, 6-2",01:17:09,3,1,2,4,2,2,1,1,0,2,1,1,314,307,320,244,258,227,32/50,18/28,14/22,51/71,22/32,29/39,26/32,15/18,11/14,30/51,15/22,15/29,12/18,6/10,6/8,9/20,4/10,5/10,2/2,0/0,2/2,6/9,2/3,4/6,9,5,4,9,5,4,162,145,181,52,57,46,21/51,7/22,14/29,6/32,3/18,3/14,11/20,6/10,5/10,6/18,4/10,2/8,3/9,1/3,2/6,0/2,0/0,0/2,38/50,21/28,17/22,39/71,19/32,20/39,32/71,13/32,19/39,12/50,7/28,5/22,70/121,34/60,36/61,51/121,26/60,25/61,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,2809,2022/2809/QS012,2022-10-17,Hard,Q-1st,Tennis Napoli Cup,Naples,28,Francesco Passaro,Lorenzo Giustino,"6-3, 4-6, 6-4",02:02:57,15,3,7,9,3,2,1,0,0,8,3,2,291,325,255,251,232,285,44/80,11/23,18/32,57/98,17/25,23/40,35/44,10/11,15/18,40/57,13/17,17/23,20/36,10/12,4/14,18/41,1/8,9/17,1/3,0/0,1/2,7/10,3/4,2/2,15,5,5,14,4,5,137,162,73,144,26,158,17/57,4/17,6/23,9/44,1/11,3/18,23/41,7/8,8/17,16/36,2/12,10/14,3/10,1/4,0/2,2/3,0/0,1/2,55/80,20/23,19/32,58/98,14/25,26/40,40/98,11/25,14/40,25/80,3/23,13/32,95/178,31/48,33/72,83/178,17/48,39/72,4,5,3,1,222,271,17/33,15/25,10/17,10/15,8/16,6/10,2/4,0/1,5,5,193,181,5/15,7/17,4/10,8/16,1/1,2/4,18/33,16/25,9/25,15/33,27/58,31/58
