year,event_id,match_id,match_date,match_surface,match_round,tournament_name,tournament_city,tournament_draw,winner_name,loser_name,match_score,match_time,winner_aces_all,winner_aces_1st,winner_aces_2nd,loser_aces_all,loser_aces_1st,loser_aces_2nd,winner_double_faults_all,winner_double_faults_1st,winner_double_faults_2nd,loser_double_faults_all,loser_double_faults_1st,loser_double_faults_2nd,winner_serve_rating_all,winner_serve_rating_1st,winner_serve_rating_2nd,loser_serve_rating_all,loser_serve_rating_1st,loser_serve_rating_2nd,winner_first_serve_all,winner_first_serve_1st,winner_first_serve_2nd,loser_first_serve_all,loser_first_serve_1st,loser_first_serve_2nd,winner_first_serve_points_all,winner_first_serve_points_1st,winner_first_serve_points_2nd,loser_first_serve_points_all,loser_first_serve_points_1st,loser_first_serve_points_2nd,winner_second_serve_points_all,winner_second_serve_points_1st,winner_second_serve_points_2nd,loser_second_serve_points_all,loser_second_serve_points_1st,loser_second_serve_points_2nd,winner_break_points_saved_all,winner_break_points_saved_1st,winner_break_points_saved_2nd,loser_break_points_saved_all,loser_break_points_saved_1st,loser_break_points_saved_2nd,winner_service_games_played_all,winner_service_games_played_1st,winner_service_games_played_2nd,loser_service_games_played_all,loser_service_games_played_1st,loser_service_games_played_2nd,winner_return_rating_all,winner_return_rating_1st,winner_return_rating_2nd,loser_return_rating_all,loser_return_rating_1st,loser_return_rating_2nd,winner_first_serve_return_points_all,winner_first_serve_return_points_1st,winner_first_serve_return_points_2nd,loser_first_serve_return_points_all,loser_first_serve_return_points_1st,loser_first_serve_return_points_2nd,winner_second_serve_return_points_all,winner_second_serve_return_points_1st,winner_second_serve_return_points_2nd,loser_second_serve_return_points_all,loser_second_serve_return_points_1st,loser_second_serve_return_points_2nd,winner_break_points_converted_all,winner_break_points_converted_1st,winner_break_points_converted_2nd,loser_break_points_converted_all,loser_break_points_converted_1st,loser_break_points_converted_2nd,winner_total_service_points_won_all,winner_total_service_points_won_1st,winner_total_service_points_won_2nd,loser_total_service_points_won_all,loser_total_service_points_won_1st,loser_total_service_points_won_2nd,winner_total_return_points_won_all,winner_total_return_points_won_1st,winner_total_return_points_won_2nd,loser_total_return_points_won_all,loser_total_return_points_won_1st,loser_total_return_points_won_2nd,winner_total_points_won_all,winner_total_points_won_1st,winner_total_points_won_2nd,loser_total_points_won_all,loser_total_points_won_1st,loser_total_points_won_2nd,loser_aces_3rd,winner_aces_3rd,loser_double_faults_3rd,winner_double_faults_3rd,loser_serve_rating_3rd,winner_serve_rating_3rd,loser_first_serve_3rd,winner_first_serve_3rd,loser_first_serve_points_3rd,winner_first_serve_points_3rd,loser_second_serve_points_3rd,winner_second_serve_points_3rd,loser_break_points_saved_3rd,winner_break_points_saved_3rd,loser_service_games_played_3rd,winner_service_games_played_3rd,loser_return_rating_3rd,winner_return_rating_3rd,loser_first_serve_return_points_3rd,winner_first_serve_return_points_3rd,loser_second_serve_return_points_3rd,winner_second_serve_return_points_3rd,loser_break_points_converted_3rd,winner_break_points_converted_3rd,loser_total_service_points_won_3rd,winner_total_service_points_won_3rd,loser_total_return_points_won_3rd,winner_total_return_points_won_3rd,loser_total_points_won_3rd,winner_total_points_won_3rd
2022,429,2022/429/MS008,2022-10-17,Hard,2nd Rd,Stockholm Open,Stockholm,28,Stefanos Tsitsipas,Maxime Cressy,"7-6, 7-6",02:03:32,7,3,4,11,2,9,1,1,0,5,3,2,316,285,343,299,274,312,57/76,26/36,31/40,55/86,17/36,38/50,52/57,23/26,29/31,44/55,14/17,30/38,10/19,4/10,6/9,18/31,12/19,6/12,0/1,0/1,0/0,2/3,2/3,0/0,12,6,6,12,6,6,103,104,71,164,188,39,11/55,3/17,8/38,5/57,3/26,2/31,13/31,7/19,6/12,9/19,6/10,3/9,1/3,1/3,0/0,1/1,1/1,0/0,62/76,27/36,35/40,62/86,26/36,36/50,24/86,10/36,14/50,14/76,9/36,5/40,86/162,37/72,49/90,76/162,35/72,41/90,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS015,2022-10-17,Hard,2nd Rd,Stockholm Open,Stockholm,28,Cameron Norrie,Aslan Karatsev,"6-7, 6-3, 6-4",03:04:25,6,4,2,7,5,2,3,1,0,6,1,4,261,242,285,228,250,199,65/98,33/47,15/24,70/119,35/58,17/32,47/65,22/33,11/15,44/70,22/35,11/17,15/33,5/14,6/9,22/49,13/23,5/15,5/9,3/5,1/2,5/11,3/5,1/3,16,6,5,15,6,4,187,153,219,152,170,130,26/70,13/35,6/17,18/65,11/33,4/15,27/49,10/23,10/15,18/33,9/14,3/9,6/11,2/5,2/3,4/9,2/5,1/2,62/98,27/47,17/24,66/119,35/58,16/32,53/119,23/58,16/32,36/98,20/47,7/24,115/217,50/105,33/56,102/217,55/105,23/56,0,0,1,2,218,263,18/29,17/27,11/18,14/17,4/11,4/10,1/3,1/2,5,5,148,210,3/17,7/18,6/10,7/11,1/2,2/3,15/29,18/27,9/27,14/29,24/56,32/56
2022,429,2022/429/MS013,2022-10-17,Hard,2nd Rd,Stockholm Open,Stockholm,28,Denis Shapovalov,Antoine Bellier,"6-4, 7-5",01:22:00,8,3,5,8,6,2,3,2,1,4,0,4,331,320,336,276,283,269,37/54,17/25,20/29,40/63,15/25,25/38,32/37,15/17,17/20,32/40,13/15,19/25,12/17,5/8,7/9,11/23,5/10,6/13,0/0,0/0,0/0,2/4,0/1,2/3,11,5,6,11,5,6,140,183,127,43,50,37,8/40,2/15,6/25,5/37,2/17,3/20,12/23,5/10,7/13,5/17,3/8,2/9,2/4,1/1,1/3,0/0,0/0,0/0,44/54,20/25,24/29,43/63,18/25,25/38,20/63,7/25,13/38,10/54,5/25,5/29,64/117,27/50,37/67,53/117,23/50,30/67,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS012,2022-10-17,Hard,2nd Rd,Stockholm Open,Stockholm,28,Alex de Minaur,J.J. Wolf,"6-4, 6-2",01:23:37,4,1,3,2,2,0,0,0,0,2,1,1,288,275,304,211,215,206,40/59,24/34,16/25,32/52,15/26,17/26,28/40,15/24,13/16,19/32,9/15,10/17,11/19,6/10,5/9,7/20,4/11,3/9,4/5,3/4,1/1,1/5,0/2,1/3,9,5,4,9,5,4,230,244,225,103,123,63,13/32,6/15,7/17,12/40,9/24,3/16,13/20,7/11,6/9,8/19,4/10,4/9,4/5,2/2,2/3,1/5,1/4,0/1,39/59,21/34,18/25,26/52,13/26,13/26,26/52,13/26,13/26,20/59,13/34,7/25,65/111,34/60,31/51,46/111,26/60,20/51,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS014,2022-10-17,Hard,2nd Rd,Stockholm Open,Stockholm,28,Holger Rune,Cristian Garin,"7-6, 6-1",01:24:55,7,6,1,0,0,0,1,1,0,4,2,2,284,291,266,202,258,108,38/58,26/38,12/20,27/55,18/35,9/20,33/38,22/26,11/12,17/27,12/18,5/9,9/20,6/12,3/8,11/28,10/17,1/11,2/4,1/2,1/2,1/5,0/1,1/4,10,6,4,9,6,3,222,190,310,138,131,146,10/27,6/18,4/9,5/38,4/26,1/12,17/28,7/17,10/11,11/20,6/12,5/8,4/5,1/1,3/4,2/4,1/2,1/2,42/58,28/38,14/20,28/55,22/35,6/20,27/55,13/35,14/20,16/58,10/38,6/20,69/113,41/73,28/40,44/113,32/73,12/40,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS009,2022-10-17,Hard,2nd Rd,Stockholm Open,Stockholm,28,Mikael Ymer,Tommy Paul,"6-2, 6-3",01:17:14,0,0,0,1,0,1,0,0,0,2,0,2,298,283,306,172,135,202,39/48,18/24,21/24,30/53,8/19,22/34,24/39,9/18,15/21,16/30,4/8,12/22,7/9,5/6,2/3,6/23,2/11,4/12,2/4,2/3,0/1,2/7,0/3,2/4,9,4,5,8,4,4,254,307,212,132,125,182,14/30,4/8,10/22,15/39,9/18,6/21,17/23,9/11,8/12,2/9,1/6,1/3,5/7,3/3,2/4,2/4,1/3,1/1,31/48,14/24,17/24,22/53,6/19,16/34,31/53,13/19,18/34,17/48,10/24,7/24,62/101,27/43,35/58,39/101,16/43,23/58,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS011,2022-10-17,Hard,2nd Rd,Stockholm Open,Stockholm,28,Emil Ruusuvuori,Jiri Lehecka,"6-2, 6-2",01:22:07,7,3,4,3,2,1,0,0,0,3,2,1,295,306,285,195,222,166,27/44,17/26,10/18,47/66,26/36,21/30,22/27,12/17,10/10,21/47,13/26,8/21,10/17,6/9,4/8,8/19,5/10,3/9,4/5,2/2,2/3,5/10,3/5,2/5,8,4,4,8,4,4,225,190,264,92,62,108,26/47,13/26,13/21,5/27,5/17,0/10,11/19,5/10,6/9,7/17,3/9,4/8,5/10,2/5,3/5,1/5,0/2,1/3,32/44,18/26,14/18,29/66,18/36,11/30,37/66,18/36,19/30,12/44,8/26,4/18,69/110,36/62,33/48,41/110,26/62,15/48,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS024,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,Alex de Minaur,Benjamin Bonzi,"6-3, 6-1",01:16:11,2,0,2,4,2,2,1,0,1,3,0,3,305,288,309,211,234,176,28/46,13/26,15/20,36/57,22/31,14/26,23/28,9/13,14/15,23/36,15/22,8/14,11/18,9/13,2/5,7/21,3/9,4/12,0/0,0/0,0/0,4/8,2/4,2/4,8,4,4,8,5,3,203,189,226,57,62,67,13/36,7/22,6/14,5/28,4/13,1/15,14/21,6/9,8/12,7/18,4/13,3/5,4/8,2/4,2/4,0/0,0/0,0/0,34/46,18/26,16/20,30/57,18/31,12/26,27/57,13/31,14/26,12/46,8/26,4/20,61/103,31/57,30/46,42/103,26/57,16/46,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS023,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,Jiri Lehecka,Grigor Dimitrov,"6-4, 1-6, 7-6",02:23:41,5,1,0,6,1,1,2,0,1,1,0,1,268,283,188,295,288,306,58/94,16/32,15/24,67/94,20/29,18/27,39/58,10/16,9/15,47/67,12/20,13/18,21/36,11/16,3/9,17/27,7/9,6/9,4/7,0/0,4/6,6/8,4/5,1/1,14,5,3,15,5,4,105,102,61,139,69,206,20/67,8/20,5/18,19/58,6/16,6/15,10/27,2/9,3/9,15/36,5/16,6/9,2/8,1/5,0/1,3/7,0/0,2/6,60/94,21/32,12/24,64/94,19/29,19/27,30/94,10/29,8/27,34/94,11/32,12/24,90/188,31/61,20/51,98/188,30/61,31/51,4,4,0,1,283,295,29/38,27/38,22/29,20/27,4/9,7/11,1/2,0/1,6,6,178,146,7/27,7/29,4/11,5/9,1/1,1/2,26/38,27/38,11/38,12/38,37/76,39/76
2022,429,2022/429/MS028,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,Holger Rune,Thiago Monteiro,"7-5, 6-2",01:20:51,3,1,2,5,2,3,0,0,0,1,1,0,327,319,334,254,276,216,36/51,22/31,14/20,36/55,21/32,15/23,31/36,20/22,11/14,28/36,17/21,11/15,10/15,5/9,5/6,7/19,5/11,2/8,0/0,0/0,0/0,2/5,2/3,0/2,10,6,4,10,6,4,175,123,252,47,53,38,8/36,4/21,4/15,5/36,2/22,3/14,12/19,6/11,6/8,5/15,4/9,1/6,3/5,1/3,2/2,0/0,0/0,0/0,41/51,25/31,16/20,35/55,22/32,13/23,20/55,10/32,10/23,10/51,6/31,4/20,61/106,35/63,26/43,45/106,28/63,17/43,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS019,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,Tommy Paul,Leo Borg,"5-7, 6-4, 6-1",02:06:09,3,0,2,3,1,2,5,4,1,3,0,1,271,190,316,238,256,265,47/80,13/30,23/31,61/95,22/32,31/44,33/47,7/13,18/23,31/61,11/22,16/31,21/33,8/17,5/8,20/34,7/10,8/13,2/5,1/4,1/1,5/10,0/2,2/3,15,6,5,14,6,5,175,213,139,146,224,60,30/61,11/22,15/31,14/47,6/13,5/23,14/34,3/10,5/13,12/33,9/17,3/8,5/10,2/2,1/3,3/5,3/4,0/1,54/80,15/30,23/31,51/95,18/32,24/44,44/95,14/32,20/44,26/80,15/30,8/31,98/175,29/62,43/75,77/175,33/62,32/75,0,1,2,0,168,332,8/19,11/19,4/8,8/11,5/11,8/8,3/5,0/0,3,4,27,211,3/11,4/8,0/8,6/11,0/0,2/5,9/19,16/19,3/19,10/19,12/38,26/38
2022,429,2022/429/MS026,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,Antoine Bellier,Alexander Shevchenko,"6-4, 6-2",01:20:47,5,3,2,3,1,2,4,2,2,1,0,1,257,261,251,210,243,172,39/62,20/36,19/26,45/69,25/37,20/32,30/39,16/20,14/19,24/45,14/25,10/20,9/23,7/16,2/7,11/24,7/12,4/12,1/3,1/2,0/1,6/11,3/5,3/6,9,5,4,9,5,4,201,166,242,173,146,222,21/45,11/25,10/20,9/39,4/20,5/19,13/24,5/12,8/12,14/23,9/16,5/7,5/11,2/5,3/6,2/3,1/2,1/1,39/62,23/36,16/26,35/69,21/37,14/32,34/69,16/37,18/32,23/62,13/36,10/26,73/131,39/73,34/58,58/131,34/73,24/58,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS017,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,Maxime Cressy,Ilya Ivashka,"4-6, 7-6, 6-4",02:36:00,22,8,9,3,0,3,11,6,3,1,0,1,294,252,319,306,314,309,63/108,20/36,19/36,67/98,17/27,32/47,50/63,14/20,18/19,48/67,12/17,23/32,24/45,7/16,11/17,22/31,8/10,10/15,8/9,3/4,0/0,6/7,0/0,5/5,16,5,6,16,5,6,77,49,61,85,131,40,19/67,5/17,9/32,13/63,6/20,1/19,9/31,2/10,5/15,21/45,9/16,6/17,1/7,0/0,0/5,1/9,1/4,0/0,74/108,21/36,29/36,70/98,20/27,33/47,28/98,7/27,14/47,34/108,15/36,7/36,102/206,28/63,43/83,104/206,35/63,40/83,0,5,0,2,294,295,18/24,24/36,13/18,18/24,4/6,6/12,1/2,5/5,5,5,75,131,6/24,5/18,6/12,2/6,0/5,1/2,17/24,24/36,12/36,7/24,29/60,31/60
2022,429,2022/429/MS029,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,Cristian Garin,Jason Kubler,"6-2, 6-4",01:35:24,3,1,2,1,0,1,4,4,0,3,1,2,296,283,311,245,224,271,46/67,25/36,21/31,31/47,18/24,13/23,35/46,18/25,17/21,20/31,9/18,11/13,11/21,5/11,6/10,8/16,3/6,5/10,3/3,1/1,2/2,1/4,1/3,0/1,9,4,5,9,4,5,193,217,185,72,83,59,11/31,9/18,2/13,11/46,7/25,4/21,8/16,3/6,5/10,10/21,6/11,4/10,3/4,2/3,1/1,0/3,0/1,0/2,46/67,23/36,23/31,28/47,12/24,16/23,19/47,12/24,7/23,21/67,13/36,8/31,65/114,35/60,30/54,49/114,25/60,24/54,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS030,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,Aslan Karatsev,Lukas Rosol,"6-3, 6-2",01:10:06,4,2,2,2,2,0,1,1,0,1,1,0,294,328,251,222,272,177,22/42,13/23,9/19,40/53,19/23,21/30,19/22,13/13,6/9,20/40,12/19,8/21,13/20,7/10,6/10,6/13,2/4,4/9,0/1,0/0,0/1,5/9,0/1,5/8,9,5,4,8,4,4,198,212,231,160,30,198,20/40,7/19,13/21,3/22,0/13,3/9,7/13,2/4,5/9,7/20,3/10,4/10,4/9,1/1,3/8,1/1,0/0,1/1,32/42,20/23,12/19,26/53,14/23,12/30,27/53,9/23,18/30,10/42,3/23,7/19,59/95,29/46,30/49,36/95,17/46,19/49,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS022,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,Emil Ruusuvuori,Joao Sousa,"6-3, 6-2",01:39:00,2,2,0,2,2,0,3,3,0,4,2,2,268,284,251,200,235,155,33/63,18/37,15/26,43/66,32/46,11/20,27/33,16/18,11/15,28/43,22/32,6/11,14/30,9/19,5/11,5/23,3/14,2/9,5/6,4/4,1/2,8/12,6/7,2/5,9,5,4,8,4,4,196,149,258,99,64,157,15/43,10/32,5/11,6/33,2/18,4/15,18/23,11/14,7/9,16/30,10/19,6/11,4/12,1/7,3/5,1/6,0/4,1/2,41/63,25/37,16/26,33/66,25/46,8/20,33/66,21/46,12/20,22/63,12/37,10/26,74/129,46/83,28/46,55/129,37/83,18/46,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS025,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,J.J. Wolf,Alex Molcan,"7-5, 6-4",01:44:27,12,8,4,1,0,1,1,1,0,4,1,3,276,281,262,225,228,226,39/68,22/35,17/33,49/82,24/41,25/41,31/39,18/22,13/17,26/49,15/24,11/25,14/29,6/13,8/16,17/33,7/17,10/16,6/8,2/3,4/5,7/11,4/6,3/5,11,6,5,11,6,5,167,163,174,116,121,114,23/49,9/24,14/25,8/39,4/22,4/17,16/33,10/17,6/16,15/29,7/13,8/16,4/11,2/6,2/5,2/8,1/3,1/5,45/68,24/35,21/33,43/82,22/41,21/41,39/82,19/41,20/41,23/68,11/35,12/33,84/150,43/76,41/74,66/150,33/76,33/74,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/MS018,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,Mikael Ymer,Quentin Halys,"5-7, 6-4, 6-3",02:21:15,1,0,0,7,2,2,1,1,0,5,2,1,281,235,304,231,262,221,67/94,19/37,31/36,71/109,19/30,23/31,42/67,12/19,18/31,53/71,17/19,14/23,18/27,10/18,4/5,8/38,3/11,2/8,2/5,1/3,1/2,11/16,0/1,3/5,15,6,5,16,6,5,166,200,194,150,181,132,18/71,2/19,9/23,25/67,7/19,13/31,30/38,8/11,6/8,9/27,8/18,1/5,5/16,1/1,2/5,3/5,2/3,1/2,60/94,22/37,22/36,61/109,20/30,16/31,48/109,10/30,15/31,34/94,15/37,14/36,108/203,32/67,37/67,95/203,35/67,30/67,3,1,2,0,213,353,29/48,17/21,22/29,12/17,3/19,4/4,8/10,0/0,5,4,29,168,5/17,7/29,0/4,16/19,0/0,2/10,25/48,16/21,5/21,23/48,30/69,39/69
2022,429,2022/429/MS021,2022-10-17,Hard,1st Rd,Stockholm Open,Stockholm,28,Elias Ymer,Oscar Otte,"7-6, 6-7, 6-3",02:47:16,7,3,2,7,4,3,7,2,4,8,3,4,269,293,224,256,270,248,67/120,26/45,22/47,65/120,26/52,26/44,52/67,21/26,17/22,51/65,20/26,22/26,25/53,10/19,9/25,24/55,11/26,7/18,7/9,3/3,4/6,4/7,2/2,1/3,17,6,6,16,6,6,139,81,176,108,66,153,14/65,6/26,4/26,15/67,5/26,5/22,31/55,15/26,11/18,28/53,9/19,16/25,3/7,0/2,2/3,2/9,0/3,2/6,77/120,31/45,26/47,75/120,31/52,29/44,45/120,21/52,15/44,43/120,14/45,21/47,122/240,52/97,41/91,118/240,45/97,50/91,0,2,1,1,252,310,13/24,19/28,9/13,14/19,6/11,6/9,1/2,0/0,4,5,59,151,5/19,4/13,3/9,5/11,0/0,1/2,15/24,20/28,8/28,9/24,23/52,29/52
2022,429,2022/429/QS004,2022-10-17,Hard,Q-F,Stockholm Open,Stockholm,28,Alexander Shevchenko,Pavel Kotov,"4-6, 6-3, 6-2",02:10:38,4,1,2,3,0,2,1,0,1,2,0,1,273,220,305,242,261,258,49/83,14/29,18/29,59/95,34/46,9/21,36/49,9/14,14/18,39/59,22/34,8/9,18/34,7/15,7/11,16/36,5/12,6/12,6/8,3/5,0/0,11/15,8/9,0/1,14,5,5,13,5,4,147,124,186,113,169,58,20/59,12/34,1/9,13/49,5/14,4/18,20/36,7/12,6/12,16/34,8/15,4/11,4/15,1/9,1/1,2/8,2/5,0/0,54/83,16/29,21/29,55/95,27/46,14/21,40/95,19/46,7/21,29/83,13/29,8/29,94/178,35/75,28/50,84/178,40/75,22/50,1,1,1,0,205,295,16/28,17/25,9/16,13/17,5/12,4/8,3/5,3/3,4,4,74,192,4/17,7/16,4/8,7/12,0/3,2/5,14/28,17/25,8/25,14/28,22/53,31/53
2022,429,2022/429/QS005,2022-10-17,Hard,Q-F,Stockholm Open,Stockholm,28,Jason Kubler,Damir Dzumhur,"6-3, 7-6",01:53:58,9,8,1,2,1,1,5,0,5,3,1,2,214,269,168,180,214,164,37/78,16/32,21/46,37/70,14/22,23/48,25/37,13/16,12/21,18/37,7/14,11/23,17/41,8/16,9/25,13/33,4/8,9/25,2/7,0/1,2/6,6/12,1/3,5/9,11,5,6,10,4,6,222,217,226,207,189,240,19/37,7/14,12/23,12/37,3/16,9/21,20/33,4/8,16/25,24/41,8/16,16/25,6/12,2/3,4/9,5/7,1/1,4/6,42/78,21/32,21/46,31/70,11/22,20/48,39/70,11/22,28/48,36/78,11/32,25/46,81/148,32/54,49/94,67/148,22/54,45/94,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/QS006,2022-10-17,Hard,Q-F,Stockholm Open,Stockholm,28,Antoine Bellier,Karl Friberg,"6-3, 7-6",01:45:31,11,4,7,2,1,1,6,3,3,1,1,0,262,235,279,241,180,279,50/82,18/32,32/50,48/66,20/26,28/40,34/50,11/18,23/32,30/48,9/20,21/28,18/32,8/14,10/18,8/18,2/6,6/12,10/13,3/5,7/8,4/8,0/3,4/5,11,5,6,10,4,6,184,297,111,126,162,101,18/48,11/20,7/28,16/50,7/18,9/32,10/18,4/6,6/12,14/32,6/14,8/18,4/8,3/3,1/5,3/13,2/5,1/8,52/82,19/32,33/50,38/66,11/26,27/40,28/66,15/26,13/40,30/82,13/32,17/50,80/148,34/58,46/90,68/148,24/58,44/90,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/QS007,2022-10-17,Hard,Q-F,Stockholm Open,Stockholm,28,Lukas Rosol,Nicholas David Ionel,"6-3, 7-6",01:31:44,4,1,3,3,1,2,3,2,1,4,0,4,274,266,281,232,202,249,41/66,16/26,25/40,44/74,14/24,30/50,32/41,12/16,20/25,25/44,6/14,19/30,13/25,5/10,8/15,14/30,5/10,9/20,2/4,0/1,2/3,3/6,0/2,3/4,11,5,6,10,4,6,176,257,133,138,195,116,19/44,8/14,11/30,9/41,4/16,5/25,16/30,5/10,11/20,12/25,5/10,7/15,3/6,2/2,1/4,2/4,1/1,1/3,45/66,17/26,28/40,39/74,11/24,28/50,35/74,13/24,22/50,21/66,9/26,12/40,80/140,30/50,50/90,60/140,20/50,40/90,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/QS008,2022-10-17,Hard,Q-1st,Stockholm Open,Stockholm,28,Pavel Kotov,Peter Gojowczyk,"7-5, 6-3",01:32:09,3,1,2,8,4,4,1,1,0,6,4,2,261,233,295,217,197,250,40/72,24/41,16/31,29/73,16/47,13/26,30/40,16/24,14/16,23/29,13/16,10/13,15/32,7/17,8/15,16/44,10/31,6/13,6/8,6/8,0/0,4/8,3/6,1/2,11,6,5,10,6,4,175,187,152,121,150,60,6/29,3/16,3/13,10/40,8/24,2/16,28/44,21/31,7/13,17/32,10/17,7/15,4/8,3/6,1/2,2/8,2/8,0/0,45/72,23/41,22/31,39/73,23/47,16/26,34/73,24/47,10/26,27/72,18/41,9/31,79/145,47/88,32/57,66/145,41/88,25/57,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/QS010,2022-10-17,Hard,Q-1st,Stockholm Open,Stockholm,28,Jason Kubler,Jonathan Mridha,"6-2, 6-3",01:14:46,3,0,3,3,1,2,1,1,0,1,1,0,287,262,305,205,154,255,27/45,11/19,16/26,25/44,12/25,13/19,22/27,6/11,16/16,16/25,6/12,10/13,10/18,6/8,4/10,6/19,4/13,2/6,0/1,0/1,0/0,1/5,1/4,0/1,9,4,5,8,4,4,234,269,215,174,195,60,9/25,6/12,3/13,5/27,5/11,0/16,13/19,9/13,4/6,8/18,2/8,6/10,4/5,3/4,1/1,1/1,1/1,0/0,32/45,12/19,20/26,22/44,10/25,12/19,22/44,15/25,7/19,13/45,7/19,6/26,54/89,27/44,27/45,35/89,17/44,18/45,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/QS012,2022-10-17,Hard,Q-1st,Stockholm Open,Stockholm,28,Karl Friberg,Pablo Andujar,"6-3, 6-2",01:21:48,7,5,2,0,0,0,0,0,0,4,1,3,286,262,328,195,194,200,47/68,35/49,12/19,26/46,11/21,15/25,33/47,22/35,11/12,16/26,8/11,8/15,11/21,6/14,5/7,6/20,2/10,4/10,4/5,4/5,0/0,2/6,1/3,1/3,9,5,4,8,4,4,225,224,224,109,134,37,10/26,3/11,7/15,14/47,13/35,1/12,14/20,8/10,6/10,10/21,8/14,2/7,4/6,2/3,2/3,1/5,1/5,0/0,44/68,28/49,16/19,22/46,10/21,12/25,24/46,11/21,13/25,24/68,21/49,3/19,68/114,39/70,29/44,46/114,31/70,15/44,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/QS015,2022-10-17,Hard,Q-1st,Stockholm Open,Stockholm,28,Nicholas David Ionel,Vit Kopriva,"7-6, 7-5",02:10:46,3,2,1,1,1,0,3,1,2,1,0,1,251,271,228,241,287,199,56/95,42/64,14/31,46/74,29/40,17/34,34/56,24/42,10/14,29/46,19/29,10/17,22/39,14/22,8/17,14/28,7/11,7/17,5/8,4/5,1/3,5/9,2/3,3/6,12,6,6,12,6,6,164,119,200,146,115,182,17/46,10/29,7/17,22/56,18/42,4/14,14/28,4/11,10/17,17/39,8/22,9/17,4/9,1/3,3/6,3/8,1/5,2/3,56/95,38/64,18/31,43/74,26/40,17/34,31/74,14/40,17/34,39/95,26/64,13/31,87/169,52/104,35/65,82/169,52/104,30/65,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
2022,429,2022/429/QS009,2022-10-17,Hard,Q-1st,Stockholm Open,Stockholm,28,Alexander Shevchenko,Filip Cristian Jianu,"6-3, 6-3",01:14:45,2,1,1,1,0,1,0,0,0,0,0,0,259,255,264,189,186,198,37/60,18/33,19/27,24/50,6/21,18/29,26/37,13/18,13/19,13/24,4/6,9/18,11/23,7/15,4/8,11/26,6/15,5/11,6/8,2/3,4/5,3/8,0/2,3/6,9,5,4,9,4,5,222,243,215,129,134,127,11/24,2/6,9/18,11/37,5/18,6/19,15/26,9/15,6/11,12/23,8/15,4/8,5/8,2/2,3/6,2/8,1/3,1/5,37/60,20/33,17/27,24/50,10/21,14/29,26/50,11/21,15/29,23/60,13/33,10/27,63/110,31/54,32/56,47/110,23/54,24/56,,,,,,,"","","","","","","","",,,,,"","","","","","","","","","","",""
